생존	A	B	장	절	관
33	19	14	제3장 소비자이론	제10절 기대효용이론	제1관 기대값과 기대효용
33	23	10	제1장 국민소득결정이론	제1절 거시경제학의 기초	
33	22	11	제1장 국민소득결정이론	제3절 고전학파의 국민소득결정이론	
34	19	15	제1장 국제무역론	제1절 국제무역이론	제1관 절대우위·비교우위 (리카도 모형)
34	15	19	제3장 소비자이론	제7절 무차별곡선이론	제1관 무차별곡선과 한계대체율
34	21	13	제8장 시장실패와 정보경제학	제24절 정보경제학과 행동경제학	제1관 비대칭정보 (역선택·도덕적해이)
35	18	17	제4장 조세의 기초 및 전가와 귀착	제9절 조세의 전가와 귀착	제1관 조세전가의 개념
35	19	16	제2장 수요·공급의 이론	제4절 수요와 공급의 탄력성	제1관 수요의 가격탄력성
35	21	14	제5장 시장이론	제13절 완전경쟁시장	제1관 완전경쟁시장의 특징
35	19	16	제2장 소비함수와 투자함수	제5절 소비함수론	
36	6	30	제3장 소비자이론	제8절 현시선호이론	제1관 현시선호의 약공리·강공리
36	18	18	제5장 시장이론	제17절 게임이론	제1관 전략형 게임과 내쉬균형
37	11	26	제5장 시장이론	제14절 독점시장	제1관 독점의 발생원인
37	18	19	제6장 생산요소시장과 소득분배	제18절 완전경쟁 요소시장	제1관 요소수요 (한계생산물가치)
39	4	35	제5장 시장이론	제14절 독점시장	제2관 독점기업의 이윤극대화
40	24	16	제1장 국민소득결정이론	제2절 국민소득의 측정과 경제구조	제4관 산업연관표·국민계정체계
41	27	14	제6장 생산요소시장과 소득분배	제20절 소득분배이론	제1관 기능별·계층별 분배
43	29	14	제7장 경기변동과 경제성장	제19절 경제성장론	제1관 해로드-도마 모형
43	23	20	제3장 소비자이론	제6절 한계효용이론	제1관 효용과 한계효용
44	15	29	제5장 시장이론	제16절 과점시장	제1관 과점의 특징과 모형 분류
45	26	19	제5장 시장이론	제15절 독점적 경쟁시장	제1관 독점적 경쟁의 특징
46	36	10	제1장 경제학의 기초	제1절 경제학의 개요	제1관 경제학의 정의와 분류
47	20	27	제6장 생산요소시장과 소득분배	제19절 불완전경쟁 요소시장	제1관 수요독점
52	39	13	제1장 경제학의 기초	제2절 경제학의 방법론	제1관 실증경제학과 규범경제학
56	34	22	제1장 국민소득결정이론	제4절 케인즈의 국민소득결정이론	제1관 유효수요의 원리
